"SubjectId" "Activity" "Average Mean" "Average Stdev"
20 "STANDING" -0.390487822284347 -0.924119798111249
20 "WALKING" -0.0152130858894382 -0.183373669065847
20 "WALKING_DOWNSTAIRS" -0.0426216866121106 -0.112178541969717
20 "WALKING_UPSTAIRS" -0.138964047852369 -0.300987852818651
21 "LAYING" -0.360589121557953 -0.966463192717172
21 "SITTING" -0.331014534499616 -0.980383901240642
21 "STANDING" -0.373048346293693 -0.965203536826694
21 "WALKING" -0.0935903698167906 -0.349500177592578
21 "WALKING_DOWNSTAIRS" -0.0607364914295217 -0.235810184772458
21 "WALKING_UPSTAIRS" -0.167376030995352 -0.419599595109684
22 "LAYING" -0.345641750360736 -0.949517000464268
22 "SITTING" -0.357673425898776 -0.957196402985694
22 "STANDING" -0.393873956237729 -0.955314916002886
22 "WALKING" -0.0163046320096281 -0.26807311689122
22 "WALKING_DOWNSTAIRS" -0.0374532138368907 -0.262597418835227
22 "WALKING_UPSTAIRS" -0.0748459279489079 -0.29935642051746
23 "LAYING" -0.328695705480551 -0.974838249659091
23 "SITTING" -0.326986781974775 -0.960073119210339
23 "STANDING" -0.370885718577967 -0.962661937054367
23 "WALKING" -0.00726042065063743 -0.178675924182244
23 "WALKING_DOWNSTAIRS" 0.0676473466021498 -0.096587253434725
23 "WALKING_UPSTAIRS" -0.144753856021628 -0.380009725559834
24 "LAYING" -0.326176010211612 -0.977079799002525
24 "SITTING" -0.34642396963292 -0.977869422566845
24 "STANDING" -0.364219969740352 -0.965586593825209
24 "WALKING" -0.168077657787642 -0.505709536494514
24 "WALKING_DOWNSTAIRS" -0.112410649704063 -0.361825458960094
24 "WALKING_UPSTAIRS" -0.225095786238806 -0.501053199934977
25 "LAYING" -0.363519656731927 -0.859226441427107
25 "SITTING" -0.335985118396498 -0.978816477948252
25 "STANDING" -0.354197728347236 -0.97601896464783
25 "WALKING" -0.246661072710514 -0.578702555047461
25 "WALKING_DOWNSTAIRS" -0.224377870277515 -0.489388597208359
25 "WALKING_UPSTAIRS" -0.31043705369092 -0.588295610674266
26 "LAYING" -0.318769345038517 -0.980657343927432
26 "SITTING" -0.340035586434099 -0.971816617586636
26 "STANDING" -0.353042357331369 -0.975943695888616
26 "WALKING" -0.13122968824122 -0.466805034954854
26 "WALKING_DOWNSTAIRS" -0.0919334216449778 -0.284848807776182
26 "WALKING_UPSTAIRS" -0.188857486108154 -0.467172712379008
27 "LAYING" -0.313654168217271 -0.985017043521703
27 "SITTING" -0.331878071444913 -0.981737422142857
27 "STANDING" -0.347472128111366 -0.977877930784091
27 "WALKING" -0.131790576608037 -0.454950979293647
27 "WALKING_DOWNSTAIRS" -0.0581367032684807 -0.297589565580647
27 "WALKING_UPSTAIRS" -0.228366968772251 -0.500441710464349
28 "LAYING" -0.392117040968059 -0.964252162746212
28 "SITTING" -0.365960142901893 -0.964937670239899
28 "STANDING" -0.391193107299444 -0.935392243072497
28 "WALKING" -0.164250204651477 -0.453530772337374
28 "WALKING_DOWNSTAIRS" -0.034829232377698 -0.251741788748867
28 "WALKING_UPSTAIRS" -0.183628654099186 -0.451136779495425
29 "LAYING" -0.294719413445851 -0.988594156319719
29 "SITTING" -0.325083252667989 -0.982026481712121
29 "STANDING" -0.33979830394222 -0.985727862638695
29 "WALKING" -0.0895429566761456 -0.394165626288159
29 "WALKING_DOWNSTAIRS" -0.0733890880827423 -0.295372120789495
29 "WALKING_UPSTAIRS" -0.186137887428199 -0.32789664862457
30 "LAYING" -0.352035935159907 -0.97131121374026
30 "SITTING" -0.352289154001121 -0.971669425166178
30 "STANDING" -0.39385718199293 -0.941460565007704
30 "WALKING" -0.143775220223752 -0.388133759487506
30 "WALKING_DOWNSTAIRS" -0.131559644622809 -0.332598011603382
30 "WALKING_UPSTAIRS" -0.276024002220579 -0.45655535663849
